,NHS_NUMBER,DATE_OF_BIRTH,FIRST_NAME,LAST_NAME,HOUSEHOLD,AGE,PRACTICE_CODE,PRACTICE_NAME,DISTANCE_FROM_PRACTICE,ESTABLISHMENT_TYPE,EDUCATIONAL_ESTABLISHMENT_UPN,EDUCATIONAL_ESTABLISHMENT_NAME,UNI_COURSE_CODE,UNI_COURSE_TITLE,LAT,LON,MARITAL_STATUS_CODE,MARITAL_STATUS,GENERAL_HEALTH_CODE,GENERAL_HEALTH,OCCUPATION_CODE,OCCUPATION,SEX_CODE,SEX,HOURS_WORKED_CODE,HOURS_WORKED,ECONOMICACTIVITY_CODE,ECONOMICACTIVITY,HOUSEHOLD_TYPE_CODE,HOUSEHOLD_TYPE,ADDRESS_1,ADDRESS_2,ADDRESS_3,ADDRESS_4,ADDRESS_5,ADDRESS_6,YEARS_AT_ADDRESS,POSTCODE,POSTCODE_NO_SPACE,LOCAL_AUTHORITY_CODE,LOCAL_AUTHORITY,LSOA_CODE,ETHNICITY,CANCER,DIABETES,COPD,ASTHMA,HYPERTENSION,MORBILITIES,ICB22NM,ICB22CD,PCN,MULTIPLE_MOBILITIES,BODY_WEIGHT
17,0027964545,1982-05-21,Sonia,Williams,H20263461,43,P92030,DR SEABROOK,240.79257175040198,,,,,,53.55165972,-2.6288752,3,Divorced or formerly in a same-sex civil partnership which is now legally dissolved,4, Good,4,Professional occupations,2,Female,3,31-48 hours per week,3,Economically active - employee,9,Complex other,51A,GRAYSONS CLOSE,WIGAN,WIGAN,WIGAN,GREATER MANCHESTER,19,WN1 2AN,WN12AN,E08000010,Wigan District (B),E01006370,White,,1,,,,1,NHS Greater Manchester Integrated Care Board,E54000057,U42152,0,Idealweight
18,0047831367,1991-05-21,James,Muhammad,H20263425,34,P92030,DR SEABROOK,277.6142092498904,,,,,,53.5518268,-2.62835086,1,Single,3,Fair,7,Skilled trades occupations,1,Male,3,31-48 hours per week,3,Economically active - employee,9,Complex other,51A,GRAYSONS CLOSE,WIGAN,WIGAN,WIGAN,GREATER MANCHESTER,19,WN1 2AN,WN12AN,E08000010,Wigan District (B),E01006370,White,,,,,1,1,NHS Greater Manchester Integrated Care Board,E54000057,U42152,0,Overweight
19,0044244485,1994-05-21,Miriam,Ingram,H20263865,31,P92030,DR SEABROOK,244.37612468443302,,,,,,53.55208391,-2.6289687,1,Single,5,Very Good,8,"Caring, Leisure and other service occupations",2,Female,3,31-48 hours per week,3,Economically active - employee,9,Complex other,51A,GRAYSONS CLOSE,WIGAN,WIGAN,WIGAN,GREATER MANCHESTER,19,WN1 2AN,WN12AN,E08000010,Wigan District (B),E01006370,Black,,,,1,,1,NHS Greater Manchester Integrated Care Board,E54000057,U42152,0,Idealweight
20,0045553889,1978-05-21,Tiffany,Kincer,H20263478,47,P92030,DR SEABROOK,260.4388652044502,,,,,,53.5517818,-2.62860213,3,Divorced or formerly in a same-sex civil partnership which is now legally dissolved,2,Bad,6,Administrative and secretarial occupations,2,Female,5,16-74 years old who do not fall into these categories,10,Economically inactive -  long-term sick or disabled,9,Complex other,51A,GRAYSONS CLOSE,WIGAN,WIGAN,WIGAN,GREATER MANCHESTER,19,WN1 2AN,WN12AN,E08000010,Wigan District (B),E01006370,White,,,,,,0,NHS Greater Manchester Integrated Care Board,E54000057,U42152,0,Overweight
21,0001189620,1998-05-21,Sean,Ewing,H20263517,27,P92030,DR SEABROOK,260.8565558293777,,,,,,53.55197131,-2.62865796,1,Single,5,Very Good,7,Skilled trades occupations,1,Male,4,<49 hours per week,3,Economically active - employee,9,Complex other,51A,GRAYSONS CLOSE,WIGAN,WIGAN,WIGAN,GREATER MANCHESTER,19,WN1 2AN,WN12AN,E08000010,Wigan District (B),E01006370,Asian,,1,,1,,2,NHS Greater Manchester Integrated Care Board,E54000057,U42152,1,Overweight
22,0039069673,1951-05-21,Melissa,Houghton,H20263744,74,P92030,DR SEABROOK,266.72627980707256,,,,,,53.55198978,-2.62857404,3,Divorced or formerly in a same-sex civil partnership which is now legally dissolved,3,Fair,9,Sales and customer service occupations,2,Female,5,16-74 years old who do not fall into these categories,9,Economically inactive -  retired,9,Complex other,51A,GRAYSONS CLOSE,WIGAN,WIGAN,WIGAN,GREATER MANCHESTER,19,WN1 2AN,WN12AN,E08000010,Wigan District (B),E01006370,Asian,,,,,1,1,NHS Greater Manchester Integrated Care Board,E54000057,U42152,0,Overweight
23,0044057318,2004-05-21,Frank,Higgins,H20263425,21,P92030,DR SEABROOK,277.6142092498904,,,,,,53.5518268,-2.62835086,1,Single,4, Good,10,"Process, plant and machine operatives",1,Male,4,<49 hours per week,3,Economically active - employee,9,Complex other,51A,GRAYSONS CLOSE,WIGAN,WIGAN,WIGAN,GREATER MANCHESTER,19,WN1 2AN,WN12AN,E08000010,Wigan District (B),E01006370,White,,,,,,0,NHS Greater Manchester Integrated Care Board,E54000057,U42152,0,Idealweight
24,0033259228,1980-05-21,Tyrone,Norris,H20263762,45,P92030,DR SEABROOK,233.28290779030138,,,,,,53.55196308,-2.6290848,1,Single,5,Very Good,11,Elementary occupations,1,Male,3,31-48 hours per week,3,Economically active - employee,9,Complex other,51A,GRAYSONS CLOSE,WIGAN,WIGAN,WIGAN,GREATER MANCHESTER,19,WN1 2AN,WN12AN,E08000010,Wigan District (B),E01006370,White,,,,,,0,NHS Greater Manchester Integrated Care Board,E54000057,U42152,0,Idealweight
25,0042783980,1964-05-21,Sarah,Greggs,H20263651,61,P92030,DR SEABROOK,254.2987869215947,,,,,,53.55203151,-2.62878634,1,Single,5,Very Good,9,Sales and customer service occupations,2,Female,7,16-30 hours per week,3,Economically active - employee,9,Complex other,51A,GRAYSONS CLOSE,WIGAN,WIGAN,WIGAN,GREATER MANCHESTER,19,WN1 2AN,WN12AN,E08000010,Wigan District (B),E01006370,Black,,1,,,,1,NHS Greater Manchester Integrated Care Board,E54000057,U42152,0,Overweight
26,0004099455,1990-05-21,Jonathan,Mcelhenney,H20263707,35,P92030,DR SEABROOK,286.6281425059186,,,,,,53.55197893,-2.62826073,1,Single,5,Very Good,5,Associate professional and technical occupations,1,Male,3,31-48 hours per week,3,Economically active - employee,9,Complex other,51A,GRAYSONS CLOSE,WIGAN,WIGAN,WIGAN,GREATER MANCHESTER,19,WN1 2AN,WN12AN,E08000010,Wigan District (B),E01006370,White,,,,,,0,NHS Greater Manchester Integrated Care Board,E54000057,U42152,0,Idealweight
27,0006923743,2003-05-21,Brooke,Liptrot,H20263425,22,P92030,DR SEABROOK,277.6142092498904,,,,,,53.5518268,-2.62835086,1,Single,4, Good,11,Elementary occupations,2,Female,7,16-30 hours per week,3,Economically active - employee,9,Complex other,51A,GRAYSONS CLOSE,WIGAN,WIGAN,WIGAN,GREATER MANCHESTER,19,WN1 2AN,WN12AN,E08000010,Wigan District (B),E01006370,White,,,,,1,1,NHS Greater Manchester Integrated Care Board,E54000057,U42152,0,Overweight
28,0044787113,2000-05-21,Chelsie,Sullivan,H20263759,25,P92030,DR SEABROOK,278.36144986341384,,,,,,53.55187377,-2.62835294,3,Divorced or formerly in a same-sex civil partnership which is now legally dissolved,5,Very Good,5,Associate professional and technical occupations,2,Female,5,16-74 years old who do not fall into these categories,8,Economically inactive -  other,9,Complex other,51A,GRAYSONS CLOSE,WIGAN,WIGAN,WIGAN,GREATER MANCHESTER,19,WN1 2AN,WN12AN,E08000010,Wigan District (B),E01006370,White,,,,,,0,NHS Greater Manchester Integrated Care Board,E54000057,U42152,0,Idealweight
29,0008556502,1973-05-21,Ian,Carr,H20263517,52,P92030,DR SEABROOK,260.8565558293777,,,,,,53.55197131,-2.62865796,1,Single,4, Good,3,"Managers, directors and senior officials",1,Male,5,16-74 years old who do not fall into these categories,6,Economically active - unemployed,9,Complex other,51A,GRAYSONS CLOSE,WIGAN,WIGAN,WIGAN,GREATER MANCHESTER,19,WN1 2AN,WN12AN,E08000010,Wigan District (B),E01006370,White,,,,,,0,NHS Greater Manchester Integrated Care Board,E54000057,U42152,0,Overweight
30,0050648169,1959-05-21,Brenda,Jackson,H20263865,66,P92030,DR SEABROOK,244.37612468443302,,,,,,53.55208391,-2.6289687,3,Divorced or formerly in a same-sex civil partnership which is now legally dissolved,4, Good,11,Elementary occupations,2,Female,6,<15 hours per week,3,Economically active - employee,9,Complex other,51A,GRAYSONS CLOSE,WIGAN,WIGAN,WIGAN,GREATER MANCHESTER,19,WN1 2AN,WN12AN,E08000010,Wigan District (B),E01006370,White,,,,,1,1,NHS Greater Manchester Integrated Care Board,E54000057,U42152,0,Underweight
31,0027245479,1960-05-21,Mary,Willard,H20263529,65,P92030,DR SEABROOK,236.85894792242374,,,,,,53.5520084,-2.62904955,4, Married or in a same sex civil partnership,4, Good,9,Sales and customer service occupations,2,Female,5,16-74 years old who do not fall into these categories,9,Economically inactive -  retired,9,Complex other,51A,GRAYSONS CLOSE,WIGAN,WIGAN,WIGAN,GREATER MANCHESTER,19,WN1 2AN,WN12AN,E08000010,Wigan District (B),E01006370,White,,,,,,0,NHS Greater Manchester Integrated Care Board,E54000057,U42152,0,Idealweight
32,0022919970,1930-05-21,Susan,Walters,H20263529,95,P92030,DR SEABROOK,236.85894792242374,,,,,,53.5520084,-2.62904955,3,Divorced or formerly in a same-sex civil partnership which is now legally dissolved,2,Bad,9,Sales and customer service occupations,2,Female,2,>75 years old,2,=>75,9,Complex other,51A,GRAYSONS CLOSE,WIGAN,WIGAN,WIGAN,GREATER MANCHESTER,19,WN1 2AN,WN12AN,E08000010,Wigan District (B),E01006370,Black,,,,,,0,NHS Greater Manchester Integrated Care Board,E54000057,U42152,0,Overweight
33,0054879778,1985-05-21,Bernadette,Patton,H20263665,40,P92030,DR SEABROOK,219.5165238032479,,,,,,53.55182039,-2.62924268,1,Single,5,Very Good,6,Administrative and secretarial occupations,2,Female,5,16-74 years old who do not fall into these categories,7,Economically inactive -  looking after home or family,9,Complex other,51A,GRAYSONS CLOSE,WIGAN,WIGAN,WIGAN,GREATER MANCHESTER,19,WN1 2AN,WN12AN,E08000010,Wigan District (B),E01006370,White,,,,,,0,NHS Greater Manchester Integrated Care Board,E54000057,U42152,0,Idealweight
34,0028098141,2006-05-21,Gary,Gosa,H20263425,19,P92030,DR SEABROOK,277.6142092498904,,,,,,53.5518268,-2.62835086,1,Single,5,Very Good,9,Sales and customer service occupations,1,Male,7,16-30 hours per week,3,Economically active - employee,9,Complex other,51A,GRAYSONS CLOSE,WIGAN,WIGAN,WIGAN,GREATER MANCHESTER,19,WN1 2AN,WN12AN,E08000010,Wigan District (B),E01006370,White,,,,,,0,NHS Greater Manchester Integrated Care Board,E54000057,U42152,0,Idealweight
35,0046849580,1985-05-21,Ann,Peterson,H20263482,40,P92030,DR SEABROOK,233.76254863744967,,,,,,53.55168789,-2.62898784,1,Single,4, Good,6,Administrative and secretarial occupations,2,Female,3,31-48 hours per week,3,Economically active - employee,9,Complex other,51A,GRAYSONS CLOSE,WIGAN,WIGAN,WIGAN,GREATER MANCHESTER,19,WN1 2AN,WN12AN,E08000010,Wigan District (B),E01006370,White,,,,1,1,2,NHS Greater Manchester Integrated Care Board,E54000057,U42152,1,Overweight
36,0036203172,1972-05-21,William,Ristau,H20263478,53,P92030,DR SEABROOK,260.4388652044502,,,,,,53.5517818,-2.62860213,1,Single,4, Good,11,Elementary occupations,1,Male,3,31-48 hours per week,3,Economically active - employee,9,Complex other,51A,GRAYSONS CLOSE,WIGAN,WIGAN,WIGAN,GREATER MANCHESTER,19,WN1 2AN,WN12AN,E08000010,Wigan District (B),E01006370,Black,,1,,,,1,NHS Greater Manchester Integrated Care Board,E54000057,U42152,0,Overweight
37,0019041292,2008-05-21,Clarence,Butler,H20263461,17,P92030,DR SEABROOK,240.79257175040198,,,,,,53.55165972,-2.6288752,1,Single,4, Good,2,Not Working,1,Male,5,16-74 years old who do not fall into these categories,10,Economically inactive -  long-term sick or disabled,9,Complex other,51A,GRAYSONS CLOSE,WIGAN,WIGAN,WIGAN,GREATER MANCHESTER,19,WN1 2AN,WN12AN,E08000010,Wigan District (B),E01006370,Black,,,,,,0,NHS Greater Manchester Integrated Care Board,E54000057,U42152,0,Overweight
38,0007865929,1959-05-21,Michael,Bond,H20263864,66,P92030,DR SEABROOK,266.47155345307044,,,,,,53.55188737,-2.62854039,4, Married or in a same sex civil partnership,5,Very Good,7,Skilled trades occupations,1,Male,5,16-74 years old who do not fall into these categories,9,Economically inactive -  retired,9,Complex other,51A,GRAYSONS CLOSE,WIGAN,WIGAN,WIGAN,GREATER MANCHESTER,19,WN1 2AN,WN12AN,E08000010,Wigan District (B),E01006370,White,,,,1,,1,NHS Greater Manchester Integrated Care Board,E54000057,U42152,0,Idealweight
39,0022830049,2009-05-21,Charles,Russo,H20263529,16,P92030,DR SEABROOK,236.85894792242374,School,106534,The Deanery Church of England High School and Sixth Form College,,,53.5520084,-2.62904955,1,Single,5,Very Good,2,Not Working,1,Male,5,16-74 years old who do not fall into these categories,11,Economically inactive -  student,9,Complex other,51A,GRAYSONS CLOSE,WIGAN,WIGAN,WIGAN,GREATER MANCHESTER,19,WN1 2AN,WN12AN,E08000010,Wigan District (B),E01006370,Black,,1,,,,1,NHS Greater Manchester Integrated Care Board,E54000057,U42152,0,Overweight
40,0029114787,1991-05-21,Kenneth,Ortiz,H20263461,34,P92030,DR SEABROOK,240.79257175040198,,,,,,53.55165972,-2.6288752,1,Single,4, Good,4,Professional occupations,1,Male,3,31-48 hours per week,4,Economically active - student,9,Complex other,51A,GRAYSONS CLOSE,WIGAN,WIGAN,WIGAN,GREATER MANCHESTER,19,WN1 2AN,WN12AN,E08000010,Wigan District (B),E01006370,White,,,1,1,1,3,NHS Greater Manchester Integrated Care Board,E54000057,U42152,1,Underweight
41,0018606089,1985-05-21,Angela,Arocha,H20263744,40,P92030,DR SEABROOK,266.72627980707256,,,,,,53.55198978,-2.62857404,4, Married or in a same sex civil partnership,4, Good,3,"Managers, directors and senior officials",2,Female,7,16-30 hours per week,5,Economically active -  self employed,9,Complex other,51A,GRAYSONS CLOSE,WIGAN,WIGAN,WIGAN,GREATER MANCHESTER,19,WN1 2AN,WN12AN,E08000010,Wigan District (B),E01006370,White,,,,,,0,NHS Greater Manchester Integrated Care Board,E54000057,U42152,0,Idealweight
42,0052828998,1988-05-21,Misty,Perry,H20263554,37,P92030,DR SEABROOK,226.93048024461442,,,,,,53.55197628,-2.62919047,1,Single,5,Very Good,11,Elementary occupations,2,Female,7,16-30 hours per week,3,Economically active - employee,9,Complex other,51A,GRAYSONS CLOSE,WIGAN,WIGAN,WIGAN,GREATER MANCHESTER,19,WN1 2AN,WN12AN,E08000010,Wigan District (B),E01006370,White,,,,,,0,NHS Greater Manchester Integrated Care Board,E54000057,U42152,0,Underweight
43,0005427194,1989-05-21,Nicole,Martin,H20263517,36,P92030,DR SEABROOK,260.8565558293777,,,,,,53.55197131,-2.62865796,3,Divorced or formerly in a same-sex civil partnership which is now legally dissolved,4, Good,8,"Caring, Leisure and other service occupations",2,Female,5,16-74 years old who do not fall into these categories,7,Economically inactive -  looking after home or family,9,Complex other,51A,GRAYSONS CLOSE,WIGAN,WIGAN,WIGAN,GREATER MANCHESTER,19,WN1 2AN,WN12AN,E08000010,Wigan District (B),E01006370,White,,,,,,0,NHS Greater Manchester Integrated Care Board,E54000057,U42152,0,Underweight
44,0032942387,1952-05-21,Lakeshia,Fontenot,H20263472,73,P92030,DR SEABROOK,228.2951989422604,,,,,,53.55199182,-2.62917639,1,Single,4, Good,4,Professional occupations,2,Female,5,16-74 years old who do not fall into these categories,9,Economically inactive -  retired,9,Complex other,51A,GRAYSONS CLOSE,WIGAN,WIGAN,WIGAN,GREATER MANCHESTER,19,WN1 2AN,WN12AN,E08000010,Wigan District (B),E01006370,Black,,,1,1,,2,NHS Greater Manchester Integrated Care Board,E54000057,U42152,1,Underweight
45,0043562434,2006-05-21,Autumn,Goh,H20263707,19,P92030,DR SEABROOK,286.6281425059186,,,,,,53.55197893,-2.62826073,1,Single,3,Fair,8,"Caring, Leisure and other service occupations",2,Female,3,31-48 hours per week,3,Economically active - employee,9,Complex other,51A,GRAYSONS CLOSE,WIGAN,WIGAN,WIGAN,GREATER MANCHESTER,19,WN1 2AN,WN12AN,E08000010,Wigan District (B),E01006370,Asian,,1,,,,1,NHS Greater Manchester Integrated Care Board,E54000057,U42152,0,Overweight
46,0005109812,1995-05-21,Roland,Grimm,H20263775,30,P92030,DR SEABROOK,236.72808139110265,,,,,,53.55198019,-2.6290385,1,Single,3,Fair,4,Professional occupations,1,Male,3,31-48 hours per week,5,Economically active -  self employed,9,Complex other,51A,GRAYSONS CLOSE,WIGAN,WIGAN,WIGAN,GREATER MANCHESTER,19,WN1 2AN,WN12AN,E08000010,Wigan District (B),E01006370,White,,,1,,1,2,NHS Greater Manchester Integrated Care Board,E54000057,U42152,1,Underweight
47,0036003243,1969-05-21,Leonard,Fleming,H20263517,56,P92030,DR SEABROOK,260.8565558293777,,,,,,53.55197131,-2.62865796,1,Single,4, Good,6,Administrative and secretarial occupations,1,Male,5,16-74 years old who do not fall into these categories,9,Economically inactive -  retired,9,Complex other,51A,GRAYSONS CLOSE,WIGAN,WIGAN,WIGAN,GREATER MANCHESTER,19,WN1 2AN,WN12AN,E08000010,Wigan District (B),E01006370,White,,,,,,0,NHS Greater Manchester Integrated Care Board,E54000057,U42152,0,Underweight
